rank#,admissionTotalNumber,University,University,isPiublic,website
1,30,普林斯顿大学,Princeton University,0,http://www.megoal.org/Princeton-University
2,17,哈佛大学,Harvard University,0,http://www.megoal.org/Harvard-University
3,51,哥伦比亚大学,Columbia University in the City of New York,0,http://www.megoal.org/Columbia-University
4,26,麻省理工学院,Massachusetts Institute of Technology,0,http://www.megoal.org/Massachusetts-Institute-of-Technology
5,32,耶鲁大学,Yale University,0,http://www.megoal.org/Yale-University
6,69,芝加哥大学,University of Chicago,0,http://www.megoal.org/University-of-Chicago
7,46,斯坦福大学,Stanford University,0,http://www.megoal.org/Stanford-University
8,59,宾夕法尼亚大学,University of Pennsylvania,0,http://www.megoal.org/University-of-Pennsylvania
9,68,杜克大学,Duke University,0,http://www.megoal.org/Duke-University
10,50,西北大学,Northwestern University,0,http://www.megoal.org/Northwestern-University
11,107,约翰霍普金斯大学,Johns Hopkins University,0,http://www.megoal.org/Johns-Hopkins-University
12,8,加州理工学院,California Institute of Technology,0,
13,29,达特茅斯学院,Dartmouth College,0,http://www.megoal.org/Dartmouth-College
14,46,布朗大学,Brown University,0,http://www.megoal.org/Brown-University
15,109,范德堡大学,Vanderbilt University,0,http://www.megoal.org/Vanderbilt-University
16,185,圣路易斯华盛顿大学,Washington University in St.Louis,0,http://www.megoal.org/Washington-University-in-St-Louis
17,134,康奈尔大学,Cornell University,0,http://www.megoal.org/Cornell-University
18,111,莱斯大学,Rice University,0,http://www.megoal.org/Rice-University
19,26,圣母大学,University of Notre Dame,0,http://www.megoal.org/University-of-Notre-Dame
20,249,加州大学洛杉矶分校,"University of California, Los Angeles",0,http://www.megoal.org/University-of-California_Los-Angeles
21,269,加州大学伯克利分校,"University of California, Berkeley",0,http://www.megoal.org/University-of-California_Berkeley
22,158,埃默里大学,Emory University,0,http://www.megoal.org/Emory-University
23,50,乔治城大学,Georgetown University,0,http://www.megoal.org/Georgetown-University
24,110,密歇根大学安娜堡分校,"University of Michigan, Ann Arbor",0,http://www.megoal.org/University-of-Michigan_Ann-Arbor
25,181,弗吉尼亚大学,University of Virginia,0,http://www.megoal.org/University-of-Virginia
26,219,卡耐基梅隆大学,Carnegie Mellon University,0,http://www.megoal.org/Carnegie-Mellon-University
27,293,南加州大学,University of Southern California,0,http://www.megoal.org
28,62,塔夫茨大学,Tufts University,0,http://www.megoal.org/Tufts-University
29,45,维克森林大学,Wake Forest University,0,http://www.megoal.org/Wake-Forest-University
30,236,北卡罗来纳州大学教堂山分校,University of North Carolina at Chapel,0,http://www.megoal.org
31,642,纽约大学,New York University,0,http://www.megoal.org/New-York-University
32,549,加州大学圣塔芭芭拉分校,University of California-Santa Barbara,0,
33,69,佛罗里达大学,University of Florida,0,
34,27,纽约大学商学院,NYU Stern School of Business,0,
35,10,纽约大学帝势学院,"Tisch School of the Arts,New York University",0,
36,18,威廉姆斯学院,Williams College,0,http://www.megoal.org/Williams-College
37,10,阿默斯特学院,Amherst College,0,http://www.megoal.org/Amherst-College
38,31,斯沃斯莫尔学院,Swarthmore College,0,
39,16,波莫纳学院,Pomona College,0,
40,40,威尔斯利学院,Wellesley College,0,http://www.megoal.org/Wellesley-College
41,8,鲍登学院,Bowdoin College,0,http://www.megoal.org/Bowdoin-College
42,18,克莱蒙特·麦肯纳学院,Claremont Mckenna College,0,http://www.megoal.org/Claremont-McKenna-College
43,42,明德学院,Middlebury College,0,http://www.megoal.org/Middlebury-College
44,28,卡尔顿学院,Carleton College,0,
45,193,牛津大学,Oxford University,0,
46,212,剑桥大学,Cambridge University,0,
47,19,伦敦政治经济学院,The London School of Economics and Political Science,0,
48,181,帝国理工学院,Imperial College London,0,
49,254,伦敦大学学院,University College London,0,
50,22,罗德岛设计学院,Rhode Island School of Design,0,http://www.megoal.org
51,24,帕森斯设计学院,Parsons School of Design,0,http://www.megoal.org/Parsons-School-for-Design
52,32,芝加哥艺术学院,School of the Art Institute of Chicago,0,
53,31,普瑞特艺术学院,Pratt Institute,0,http://www.megoal.org/Pratt-Institute_Main
54,29,加州艺术学院,California College of the Arts,0,
55,23,视觉艺术学校,School of Visual Arts,0,http://www.megoal.org/Art-Center-College-of-Design
56,149,罗彻斯特大学,University of Rochester,0,http://www.megoal.org/University-of-Rochester
