rank#,机构,id,offers,城市,svLevelTitle,电话,地址,service,special,wechat
1,明顿藤思,3749,159,深圳市,高级VIP组织,75582947000,美国和中国同步运营,美国、 英国或其他国家大学混合申请，人文、经济、艺术、数理、科技各领域顶尖科研项目学术指导,90%录取前三十 GPA管理 科研资源 中美团队,mq549401223
2,新东方前途出国,3855,453,北京市,高级VIP组织,400-980-5599,北京市海淀区新东方大厦南楼,考试指导、留学规划、背景提升、学校申请、奖学金申请、文书指导、签证服务、职业规划,权威，专业，诚信,
3,上海棒呆国际教育,3698,270,上海市,高级VIP组织,4000860711,上海长宁区（总部）/北京朝阳区/广州越秀区,美本/英本/美高规划申请、英语国家多国混合申请等服务,专业细致 品牌口碑好 服务成体系 顾问团队优 学生案例丰富,bdbangdai
4,海狸学院,3693,177,不适用,高级VIP组织,beaveracademy.nyc@Gmail.com,美国纽约,高中生学业学术规划辅导，顶尖学术和暑期项目辅导，科研专项辅导，本科申请辅导等,,beavercares
5,三士渡教育,3689,495,杭州市,高级VIP组织,4009998974_,上海市徐家汇路358号201室,美本,,Stoooges三士渡
6,学美教育,3733,283,上海市,高级VIP组织,02162487799,上海市静安区南京西路1515号静安嘉里中心一座1809,美高/美本/美研/艺术/多国联申,美英名校申请、留学/考培/艺术一站式,henryqa
7,浑朴留学咨询,3682,259,上海市,高级VIP组织,02160910865,上海黄浦区（总部）/ 广州天河区 / 武汉江岸区,美本/英本/多国混申/美研/美本转学,优质口碑 中西结合团队 美方文书全职线下 擅长个人故事打造 超预期录取,Carriecata
8,树英学会,3705,281,上海市,高级VIP组织,18616770219,黄浦区丽园路501号SOHO丽园A8栋三楼,美本、美高、英本、英高,,shuyinxuehui
9,引知,3678,388,北京市,高级VIP组织,400-716-2768,北京丨朝外大街乙6号 朝外SOHO C座0835；上海丨淮海中路1045号淮海国际广场4205；广州丨天河区林和西路9号耀中广场B栋3706；深圳丨福华三路168号 荣超国际商会中心1202；成都丨红星路三段1号国际金融中心三号楼40楼4003  8楼3809,美本,前招生官 竞争力提升 个性化培养 学术项目,ingenius-prep
10,敏思跃动,3727,182,深圳市,高级VIP组织,0755-86350830,广东省深圳市南山区粤海街道大冲社区科发路91号华润置地大厦D座2009；上海市徐汇区龙兰路277号T2座702室；北京市东城区南竹杆胡同2号银河SOHO D座8层50809,美本/美高/海外高中,美本/美高顶尖校/世界名校申请规划、学术和活动高效提升、独家资源平台、科技数字化体系,TSAF02
11,凭远教育App-Ark,3697,159,上海市,高级VIP组织,02154270935,上海市徐汇区漕溪北路45号徐汇BASE（上海航空科技大厦）20楼,美国本科,美本申请,appark003
12,美国精英留学,3737,202,不适用,高级VIP组织,,美国,高中规划，美本申请,专属规划、陪伴成长，提高名校录取概率！,dwdeedee
13,哈斯教育,3782,202,深圳市,高级VIP组织,0755-86725986,广东省深圳市福田区皇庭中心8D / 北京市朝阳区京广中心3708 / 上海市徐汇区港汇中心二座4101,美本,全人教育 高师生比 陪伴 专业 诚信,hec-edu
14,益博国际,3714,135,上海市,高级VIP组织,02151093088,上海市瑞平路275号保利西岸C座8层,美本,美本 美研 英本 英国贵族公学,ebfchina
15,新航道前程留学山东公司,3852,27,济南市,高级VIP组织,05325572582,济南：玉泉森信大酒店C座2层/万达广场D座广发银行大厦10层      青岛：市南区远洋大厦A座3层/福林大厦A座2层,美本、美研、美高、艺术、英澳、港新、欧亚,,13583290039
16,普顿教育,3815,87,深圳市,高级VIP组织,4008958658,南山区天利中央广场A座1905,美本申请,高端美本 精准定位 以人为本,princetonow3
17,寻教育,3774,107,杭州市,高级VIP组织,18658853399,杭州市上城区飞云江路9号赞成中心东楼1007，上海市徐汇区零陵路899号飞洲国际大厦21J,美本,美本申请，美研申请，文书指导，升学规划，家长课堂,Xun_education
18,比邻留学,3805,168,深圳市,高级VIP组织,0755-86706320,南山区粤海街道高新南九道微软科通大厦22F（22楼）,美本,美高，美本，GPA管理，顶尖竞赛辅导，顶尖夏校申请,PILGRIM_assistant
19,满托教育,3895,101,上海市,高级VIP组织,+86-16601841906,上海市黄浦区淮海中路138号上海广场903室 ,美本/英本/美研规划申请,大量小众学科/交叉学科申请经验  跨学科/跨专业背景团队,16601841906
20,领藤教育,3901,48,深圳市,高级VIP组织,18566219981,深圳市福田区卓越世纪中心4号楼2605D,美本；美研；英语国家各种项目混合申请,注重能力培养；领导力提升；菁英团队；资源丰富,lighten-edu
21,常青汇,3696,116,上海市,高级VIP组织,400 065 1893,上海市长宁区延安西路1118号龙之梦大厦1610室,美高，美本，美研,专注于美国顶尖大学及高中的规划和申请,IvyuanEdu
22,天道教育,3695,102,上海市,高级VIP组织,021-63758600,黄浦区黄陂北路227号中区广场21楼,海外名校申请、语言强化、背景提升、多元化升学、实习求职,留学申请 语言指导 学术科研 实习项目,sakuradaodao
23,RayD教育,3797,55,北京市,高级VIP组织,13910710635,北京市海淀区中关村丹棱街6号-丹棱SOHO,美国、英国、加拿大本科申请,,RayD留学
24,凯银智梦,3736,31,,高级VIP组织,,,美本,,
25,南森诚道,3767,23,杭州市,高级VIP组织,17602100913,上海市徐汇区零陵路899号飞洲国际大厦27G,美本 美高 英本,,17602100913
26,Inspire! 国际教育	,3744,17,上海市,高级VIP组织,021-64396731,徐汇区零陵路899号飞洲国际大厦22层M,美本,美本申请量身定制 跨学科申请 丰富的学术资源与工作坊 STEM与人文素养融合 藤校及TOP30冲刺,lihengbai1
27,峰越教育,3708,22,上海市,高级VIP组织,,,美本,,
28,刘又铭老师工作室,10323,9,不适用,高级VIP组织,,,,,
