rank#,id,admissionTotalNumber,school,学校,国家,isPublic
1,302,22,Phillips Academy Andover,菲利普斯学校安多佛,美国,0
2,431,53,The Hotchkiss School,霍奇科斯学校,美国,0
3,61,12,Choate Rosemary Hall,乔特罗斯玛丽中学,美国,0
4,259,13,Groton school,格罗顿学校,美国,0
5,72,14,Phillips Exeter Academy,菲利普斯埃克塞特中学,美国,0
6,689,3,Harvard-Westlake School,哈佛西湖中学,美国,0
7,323,2,The Lawrenceville School,劳伦斯威尔高中,美国,0
8,129,19,St. Paul's School,圣保罗中学,美国,0
9,576,1,Noble and Greenough School,格里诺贵族学校,美国,0
10,237,24,Deerfield Academy,迪尔菲尔德学院,美国,0
11,126,36,Concord Academy,协和学院,美国,0
12,966,1,The Davidson Academy,戴维森学院 ,美国,1
13,10335,4,The Bishop's School,毕夏普学校,美国,0
14,270,4,The Loomis Chaffee School,鲁米斯查菲高中,美国,0
15,389,6,Milton Academy,米尔顿高中,美国,0
16,403,12,Cate School,凯特中学,美国,0
17,563,1,Hopkins School,霍普金斯学校,美国,0
18,10258,7,Pingry School,宾格利学校,美国,0
19,64,7,Cranbrook Schools,克瑞布鲁克中学,美国,0
20,236,1,The Thacher School,撒切尔中学,美国,0
21,351,24,Princeton International School of Mathematics and Science,人大附中美国分校	,美国,0
22,121,45,St. Mark's  School,圣马克学校,美国,0
23,327,6,Thomas Jefferson School,托马斯杰弗逊学校,美国,0
24,10349,5,The Quarry Lane School,库埃里兰学校,美国,0
25,111,17,Lake Forest Academy,湖森中学,美国,0
26,10358,1,Bergen County Academies,伯根县学院,美国,0
27,707,18,Westminster school,威斯敏斯特学院,美国,0
28,757,1,Stuyvesant High School,史岱文森高中,美国,1
29,1329,6,Sage Hill School,圣人山学校,美国,0
30,587,22,St. Andrews School（DE）,圣安德鲁斯中学,美国,0
31,10170,1,Cary Academy	,卡里学院,美国,0
32,62,19,Peddie School,佩迪中学,美国,0
33,379,23,Mercersburg Academy, 摩尔西斯堡中学,美国,0
34,1344,9,St.Alban’s School,圣奥尔本斯中学,美国,0
35,637,5,American Heritage School,美利坚海瑞中学,美国,0
36,857,23,Webb Schools,韦伯高中,美国,0
37,433,28,The Taft School,塔夫特中学,美国,0
38,66,14,The Hockaday School,霍卡迪女子学校,美国,0
39,48,11,St. Stephen's Episcopal School,圣斯蒂芬教会学校,美国,0
40,10165,2,Adlai E Stevenson High School	,阿德莱·E·史蒂文森高中,美国,1
41,764,2,Bryn Mawr School,布林茅尔女校,美国,0
42,567,25,Emma Willard School, 艾玛威拉德女子中学,美国,0
43,104,31,Kent School,肯特中学,美国,0
44,166,15,The Madeira School,马德拉女子中学,美国,0
45,10384,3,The Rivers School,河流学校,美国,0
46,1144,2,The Waterford School,沃特福德学院,美国,0
47,1346,1,Whitney M Young Magnet High School,惠特尼杨精英高中,美国,0
48,1296,7,BASIS Independent Silicon Valley,贝赛思独立学校硅谷校区,美国,0
49,537,14,Rutgers Prep School,罗格斯预备学校,美国,0
50,234,17,Episcopal High School,主教中学,美国,0
51,78,17,Pomfret School,庞弗雷特中学,美国,0
52,10395,1,Oakwood School,橡树林学校,美国,0
53,314,26,Northfield Mount Hermon School,北野山高中,美国,0
54,313,15,Princeton Day School,普林斯顿走读学校,美国,0
55,251,16,The Baldwin School,鲍德温学院,美国,0
56,1363,20,Iolani School,伊奥拉尼学校,美国,0
57,221,3,Jericho Senior High School,杰里科高中,美国,0
58,976,17,Sierra Canyon School,塞拉峡谷高中,美国,0
59,481,16,UWC 美国,,美国,0
60,349,3,The Episcopal Academy,圣公会学院,美国,0
61,502,22,Western Reserve Academy,西储学院,美国,0
62,115,1,Landon School,兰登学校,美国,0
63,71,3,The Stony Brook School,石溪中学,美国,0
64,441,16,Great Neck South High School,长岛南大颈高中,美国,0
65,371,7,Suffield Academy,萨菲尔德中学,美国,0
66,218,14,The Hill School,希尔中学,美国,0
67,10414,4,Fairmont Preparatory Academy,费尔蒙特预科学院,美国,0
68,342,1,Wardlaw-Hartridge School,沃德罗-哈特里奇学校,美国,0
69,10416,5,North Shore Country Day,北岸乡村学校,美国,0
70,848,3,The Wheeler School,维勒学校,美国,0
71,10418,1,British International School of Chicago,芝加哥英国国际学校,美国,0
72,10301,1,Mounds Park Academy,芒兹帕克学校,美国,0
73,501,23,The Masters School,迈斯特中学,美国,0
74,10422,1,King School,国王学校,美国,0
75,200,8,Shady Side Academy,桑迪赛德学校,美国,0
76,10424,7,Henry M. Gunn High School,,美国,1
77,84,33,Blair Academy,布莱尔学院,美国,0
78,1202,1,Syosset Senior High School,锡塞特高级中学,美国,1
79,1150,1,Mary Institute and Saint Louis Country Day School,玛丽圣路易斯中学,美国,0
80,412,17,Georgetown Preparatory School,乔治城预科学校,美国,0
81,340,5,Cushing Academy,库欣中学,美国,0
82,1237,1,The Village School,威利学校,美国,0
83,308,2,Oregon Episcopal School,俄勒冈主教高中,美国,0
84,423,23,Miss Porter's School,波特女子高中,美国,0
85,300,27,George School,乔治学校,美国,0
86,1307,11,Brooks School,布鲁克斯学校,美国,0
87,49,24,Annie Wright School,安妮怀特中学,美国,0
